500 2 2.5 10
0 -16.636364 -6.727273 -35.181820 -48.818180
1 -27.727272 -2.636364 0.818182 3.818182
2 10.454545 34.636364 -24.909090 41.818180
3 13.272727 35.090908 27.090910 34.000000
4 -18.636364 45.363636 -40.454544 46.090908
5 -10.363636 -49.363636 -33.454544 -14.545455
6 17.636364 15.454545 40.090908 -41.090908
7 -34.000000 -1.818182 16.181818 -0.545455
8 -44.727272 44.909092 0.636364 -8.545455
9 -7.727273 -34.727272 45.272728 -47.272728
10 -36.181820 -29.636364 -41.636364 27.090910
11 -30.636364 35.454544 24.909090 0.727273
12 44.727272 34.454544 10.636364 -15.636364
13 48.909092 41.000000 33.636364 16.636364
14 6.545455 37.545456 39.363636 22.545454
15 -0.363636 5.636364 -28.000000 4.909091
16 0.545455 36.454544 46.363636 -43.363636
17 -34.363636 -44.454544 -26.727272 -6.727273
18 -10.272727 -18.363636 -15.818182 9.090909
19 -32.818180 -40.909092 -26.363636 -24.272728
20 -42.545456 48.181820 10.090909 -43.636364
21 39.181820 7.636364 36.818180 9.545455
22 -4.818182 26.272728 -17.818182 44.818180
23 -4.272727 18.000000 13.636364 -39.909092
24 18.363636 23.818182 -33.272728 47.818180
25 29.363636 -10.000000 -8.909091 -30.818182
26 35.545456 25.272728 42.090908 -33.454544
27 48.181820 -20.363636 -7.727273 -44.363636
28 -22.181818 -33.818180 -24.090910 -33.000000
29 23.818182 -23.454546 40.454544 -30.909090
30 -47.181820 -27.363636 -22.272728 12.363636
31 -45.545456 -44.818180 22.454546 36.636364
32 29.090910 -46.909092 34.454544 22.272728
33 -6.909091 -10.636364 41.454544 -7.545455
34 -35.363636 47.454544 9.000000 -23.272728
35 -22.909090 -48.727272 -3.818182 4.909091
36 -32.454544 22.090910 35.727272 41.363636
37 48.727272 26.181818 -25.727272 -34.636364
38 -37.363636 15.909091 27.818182 -19.000000
39 21.090910 0.272727 -18.545454 0.181818
40 3.363636 -34.000000 -27.454546 -39.636364
41 19.181818 -22.181818 2.818182 47.727272
42 -10.909091 -24.272728 -25.545454 16.181818
43 -23.000000 20.636364 -15.090909 -5.454545
44 6.636364 -15.454545 -0.181818 5.363636
45 -25.454546 37.909092 34.545456 1.090909
46 3.818182 12.363636 32.090908 -11.181818
47 -23.454546 -36.454544 -47.181820 43.727272
48 -6.636364 -10.818182 -32.090908 -37.363636
49 30.909090 34.636364 -25.818182 -30.000000
50 -39.636364 -1.363636 -49.909092 -12.636364
51 -16.909090 -15.000000 45.818180 39.727272
52 19.545454 -4.363636 8.909091 -42.000000
53 -2.636364 -6.454545 9.090909 -34.909092
54 -30.272728 5.000000 3.909091 10.090909
55 32.363636 6.727273 3.909091 -24.181818
56 -40.181820 21.818182 2.272727 40.727272
57 20.272728 26.454546 -39.272728 30.636364
58 -11.090909 -39.181820 -31.909090 22.000000
59 9.727273 -22.272728 11.818182 -20.727272
